Half-degree cell series of precipitation
Centre Latitude:              4.25
Centre Longitude:           -74.75
CRU TS Version:               4.04
Units:                     mm/month 

  Yr  Mo     Value   N.Obs
1958   6     60.30     8
1958   7     23.70     8
1958   8     69.70     8
1958   9     50.00     8
1958  10    213.10     8
1958  11    192.40     8
1958  12    154.60     8
1959   1     44.00     8
1959   2     30.10     8
1959   3     68.90     8
1959   4    131.50     8
1959   5    485.70     8
1959   6    180.20     8
1959   7     97.40     8
1959   8     83.50     8
1959   9     88.00     8
1959  10    251.40     8
1959  11    193.80     8
1959  12    125.30     8
1960   1    128.50     8
1960   2    135.10     8
1960   3    115.00     8
1960   4    252.60     8
1960   5    205.50     8
1960   6    116.10     8
1960   7     88.60     8
1960   8    114.70     8
1960   9    107.90     8
1960  10    311.80     8
1960  11    144.40     8
1960  12    193.30     8
1961   1     83.80     8
1961   2     52.80     8
1961   3    190.40     8
1961   4    255.60     8
1961   5     94.50     8
1961   6    129.70     8
1961   7     85.80     8
1961   8     31.70     8
1961   9     88.00     8
1961  10    272.30     8
1961  11    285.00     8
1961  12     85.00     8
1962   1     73.10     8
1962   2     83.10     8
1962   3    201.30     8
1962   4    203.90     8
1962   5    235.60     8
1962   6    175.10     8
1962   7     53.40     8
1962   8    106.50     8
1962   9    119.20     8
1962  10    182.80     8
1962  11    175.40     8
1962  12    118.60     8
1963   1    105.90     8
1963   2    225.70     8
1963   3    155.00     8
1963   4    275.90     8
1963   5    354.20     8
1963   6     97.40     8
1963   7    117.20     8
1963   8     79.20     8
1963   9     87.90     8
1963  10    204.70     8
1963  11    277.20     8
1963  12     88.10     8
1964   1     26.10     8
1964   2    106.90     8
1964   3     77.50     8
1964   4    254.60     8
1964   5    221.60     8
1964   6    168.70     8
1964   7    114.80     8
1964   8     88.50     8
1964   9     96.60     8
1964  10    233.20     8
1964  11    203.10     8
1964  12    114.40     8
1965   1     47.20     8
1965   2     60.70     8
1965   3     87.50     8
1965   4    304.70     8
1965   5    236.90     8
1965   6     50.30     8
1965   7     38.80     8
1965   8     59.80     8
1965   9     92.00     8
1965  10    309.00     8
1965  11    309.10     8
1965  12    118.30     8
1966   1     45.50     8
1966   2     80.20     8
1966   3    148.20     8
1966   4    159.70     8
1966   5    195.60     8
1966   6    198.20     8
1966   7     58.40     8
1966   8    101.40     8
1966   9    159.00     8
1966  10    234.90     8
1966  11    346.30     8
1966  12    193.90     8
1967   1     49.30     8
1967   2     92.40     8
1967   3    156.20     8
